Date,Open,High,Low,Close,Adj Close,Volume
2007-03-19,59.529999,59.529999,59.529999,59.529999,44.555897,0
2007-03-20,null,null,null,null,null,null
2007-03-21,null,null,null,null,null,null
2007-03-22,null,null,null,null,null,null
2007-03-23,61.200001,61.950001,61.200001,61.700001,46.180058,24900
2007-03-26,61.820000,61.830002,61.360001,61.700001,46.180058,25700
2007-03-27,61.360001,61.380001,61.200001,61.279999,45.865704,12000
2007-03-28,60.820000,60.830002,60.377998,60.419998,45.222027,41300
2007-03-29,61.349998,61.599998,61.230000,61.599998,46.105206,22600
2007-03-30,62.099998,62.150002,61.500000,61.599998,46.105206,21900
2007-04-02,62.549999,62.549999,62.450001,62.549999,46.816246,1000
2007-04-03,63.150002,63.410000,63.150002,63.410000,47.459927,9700
2007-04-04,63.599998,63.650002,63.410000,63.650002,47.639561,6600
2007-04-05,63.549999,63.860001,63.549999,63.860001,47.796734,12200
2007-04-09,64.019997,64.150002,64.019997,64.099998,47.976364,4500
2007-04-10,64.199997,64.430000,64.199997,64.430000,48.223362,2600
2007-04-11,64.480003,64.489998,63.900002,63.900002,47.826672,26100
2007-04-12,64.050003,64.489998,64.050003,64.489998,48.268269,13000
2007-04-13,64.849998,65.099998,64.750000,65.099998,48.724827,6100
2007-04-16,65.879997,66.190002,65.879997,66.180000,49.533165,15200
2007-04-17,66.269997,66.699997,66.250000,66.680000,49.907406,8700
2007-04-18,66.279999,66.440002,66.209999,66.300003,49.622978,24100
2007-04-19,65.949997,66.430000,65.940002,66.199997,49.548134,22500
2007-04-20,67.169998,67.230003,67.000000,67.099998,50.221756,4700
2007-04-23,67.000000,67.099998,66.940002,66.940002,50.101994,3500
2007-04-24,66.800003,67.000000,66.449997,66.870003,50.049610,43200
2007-04-25,67.300003,68.019997,67.300003,68.000000,50.895363,3500
2007-04-26,67.349998,67.500000,67.089996,67.449997,50.483711,13600
2007-04-27,67.180000,67.260002,66.830002,67.180000,50.281624,37300
2007-04-30,66.599998,67.529999,66.500000,66.500000,49.772671,22200
2007-05-01,66.500000,66.750000,66.489998,66.750000,49.959789,1300
2007-05-02,67.400002,68.209999,67.400002,67.750000,50.708244,140700
2007-05-03,67.650002,67.919998,67.599998,67.919998,50.835484,17400
2007-05-04,68.269997,68.800003,68.199997,68.260002,51.089973,3900
2007-05-07,68.650002,68.900002,68.650002,68.849998,51.531555,11800
2007-05-08,68.220001,68.220001,67.750000,68.169998,51.022602,11900
2007-05-09,68.400002,68.470001,68.279999,68.320000,51.134872,12500
2007-05-10,67.699997,67.849998,66.790001,66.949997,50.109482,31700
2007-05-11,67.160004,67.160004,67.160004,67.160004,50.266666,55100
2007-05-14,67.599998,67.699997,66.800003,67.180000,50.281624,6800
2007-05-15,66.699997,67.300003,66.550003,66.620003,49.862488,38700
2007-05-16,67.279999,67.459999,66.699997,67.150002,50.259171,41400
2007-05-17,66.040001,66.250000,65.860001,66.000000,49.398445,56200
2007-05-18,66.169998,66.949997,66.150002,66.949997,50.109482,37900
2007-05-21,66.739998,66.949997,66.739998,66.949997,50.109482,1800
2007-05-22,67.230003,67.230003,67.230003,67.230003,50.319054,2500
2007-05-23,67.680000,67.680000,67.680000,67.680000,50.655857,8900
2007-05-24,67.099998,67.099998,65.709999,65.709999,49.181389,109500
2007-05-25,66.029999,66.300003,66.029999,66.300003,49.622978,3000
2007-05-29,66.699997,66.699997,65.849998,66.150002,49.510708,12800
2007-05-30,65.519997,65.750000,64.760002,65.750000,49.211334,39400
2007-05-31,65.980003,65.980003,65.580002,65.790001,49.241264,1100
2007-06-01,66.250000,66.410004,66.150002,66.400002,49.697826,2100
2007-06-04,65.599998,66.040001,65.599998,66.040001,49.428383,4200
2007-06-05,65.599998,65.680000,65.230003,65.349998,48.911942,17500
2007-06-06,64.930000,65.120003,64.750000,64.949997,48.612560,10100
2007-06-07,64.800003,64.900002,63.430000,63.430000,47.474892,57700
2007-06-08,63.450001,63.599998,63.160000,63.599998,47.602135,11700
2007-06-11,63.770000,64.870003,63.770000,64.580002,48.335632,17600
2007-06-12,64.000000,64.000000,63.400002,63.400002,47.452446,4100
2007-06-13,63.500000,64.059998,63.400002,64.059998,47.946426,3800
2007-06-14,64.620003,65.199997,64.620003,65.180000,48.784710,7000
2007-06-15,65.809998,65.949997,65.800003,65.889999,49.316116,7400
2007-06-18,66.449997,66.570000,66.400002,66.570000,49.825069,6600
2007-06-19,66.279999,66.470001,66.250000,66.470001,49.750229,6600
2007-06-20,66.629997,66.680000,65.959999,65.959999,49.368496,18700
2007-06-21,66.000000,66.000000,65.110001,65.550003,49.061642,3900
2007-06-22,65.400002,65.400002,64.500000,64.500000,48.275757,900
2007-06-25,64.599998,64.900002,63.750000,64.099998,47.976364,10000
2007-06-26,64.070000,64.260002,63.299999,63.299999,47.377598,19400
2007-06-27,63.619999,63.869999,63.619999,63.869999,47.804218,18400
2007-06-28,64.500000,64.940002,64.389999,64.599998,48.350590,22400
2007-06-29,64.849998,64.879997,64.099998,64.129997,47.998821,45500
2007-07-02,65.550003,65.900002,65.550003,65.900002,49.323601,3600
2007-07-03,66.199997,66.419998,66.000000,66.000000,49.398445,21500
2007-07-05,65.500000,65.500000,65.239998,65.410004,48.956856,90000
2007-07-06,65.459999,66.300003,65.449997,66.300003,49.622978,51500
2007-07-09,66.709999,67.199997,66.709999,67.150002,50.259171,11300
2007-07-10,67.040001,67.040001,66.250000,66.250000,49.585560,5500
2007-07-11,66.230003,66.900002,66.230003,66.559998,49.817581,22800
2007-07-12,67.150002,67.949997,67.010002,67.949997,50.857941,6400
2007-07-13,67.650002,67.769997,67.449997,67.769997,50.723221,4000
2007-07-16,67.320000,67.650002,67.300003,67.400002,50.446293,8600
2007-07-17,67.260002,67.260002,67.260002,67.260002,50.341503,7800
2007-07-18,67.279999,67.290001,67.239998,67.290001,50.363953,400
2007-07-19,68.220001,68.400002,68.150002,68.400002,51.194759,2500
2007-07-20,67.589996,68.139999,67.589996,67.989998,50.887871,43500
2007-07-23,69.089996,69.089996,69.089996,69.089996,51.711182,3700
2007-07-24,68.400002,68.900002,67.650002,67.650002,50.633408,25000
2007-07-25,68.220001,68.220001,67.400002,67.550003,50.558563,63000
2007-07-26,65.800003,65.900002,64.080002,64.800003,48.500290,113600
2007-07-27,64.190002,64.599998,62.980000,63.220001,47.317719,30600
2007-07-30,63.599998,64.919998,63.590000,64.570000,48.328144,32900
2007-07-31,64.750000,65.269997,63.650002,63.650002,47.639561,24500
2007-08-01,63.160000,63.740002,61.759998,62.830002,47.025814,25400
2007-08-02,64.000000,64.000000,64.000000,64.000000,47.901516,22000
2007-08-03,64.099998,64.099998,62.430000,62.470001,46.756378,22000
2007-08-06,62.250000,63.160000,61.849998,63.160000,47.272812,38600
2007-08-07,62.770000,63.849998,62.770000,63.849998,47.789249,4000
2007-08-08,64.800003,65.290001,64.800003,65.290001,48.867043,4200
2007-08-09,64.150002,64.150002,62.750000,62.750000,46.965946,25900
2007-08-10,62.250000,63.410000,62.000000,63.330002,47.400051,28000
2007-08-13,63.500000,63.730000,62.950001,62.950001,47.115639,18300
2007-08-14,63.029999,63.029999,61.500000,61.570000,46.082760,22300
2007-08-15,61.549999,61.650002,60.000000,60.000000,44.907684,14300
2007-08-16,59.000000,59.400002,57.549999,59.400002,44.458599,39200
2007-08-17,59.790001,59.790001,59.790001,59.790001,44.750507,11000
2007-08-20,59.650002,60.000000,59.650002,59.730000,44.705585,16300
2007-08-21,59.549999,59.840000,59.430000,59.840000,44.787922,15000
2007-08-22,61.090000,61.820000,61.049999,61.820000,46.269871,13100
2007-08-23,62.099998,62.099998,61.570000,61.570000,46.082760,1500
2007-08-24,61.840000,63.110001,61.840000,63.090000,47.220425,26900
2007-08-27,62.660000,62.660000,62.660000,62.660000,46.898579,1500
2007-08-28,61.900002,61.900002,61.900002,61.900002,46.329758,14800
2007-08-29,62.470001,64.139999,62.270000,64.089996,47.968884,24900
2007-08-30,63.500000,63.500000,63.500000,63.500000,47.527283,1200
2007-08-31,64.699997,65.699997,64.500000,65.059998,48.694885,9600
2007-09-04,64.900002,66.010002,64.900002,65.949997,49.361012,6100
2007-09-05,64.669998,65.099998,64.599998,64.839996,48.530224,27000
2007-09-06,64.970001,65.389999,64.910004,65.379997,48.934395,16800
2007-09-07,64.199997,64.230003,63.770000,64.180000,48.036247,3000
2007-09-10,64.650002,64.889999,63.740002,64.870003,48.552689,11200
2007-09-11,65.730003,66.000000,65.650002,66.000000,49.398445,8000
2007-09-12,65.919998,66.059998,65.919998,66.059998,49.443348,900
2007-09-13,66.150002,66.959999,66.150002,66.500000,49.772671,10500
2007-09-14,65.349998,66.110001,65.349998,66.029999,49.420906,7400
2007-09-17,65.599998,65.599998,65.300003,65.400002,48.949368,1300
2007-09-18,65.680000,65.779999,65.680000,65.779999,49.233784,16900
2007-09-19,67.279999,67.959999,67.279999,67.790001,50.738186,31500
2007-09-20,67.910004,68.050003,67.209999,67.250000,50.334015,20500
2007-09-21,67.699997,67.809998,67.699997,67.800003,50.745682,23200
2007-09-24,67.889999,68.459999,67.870003,67.970001,50.872917,19300
2007-09-25,67.540001,68.379997,67.419998,68.260002,51.089973,9000
2007-09-26,68.430000,68.949997,68.279999,68.629997,51.366882,10100
2007-09-27,69.199997,69.480003,69.099998,69.480003,52.003090,3100
2007-09-28,69.779999,69.779999,68.879997,68.900002,51.568981,1300
2007-10-01,69.349998,70.250000,69.349998,70.139999,52.497078,21300
2007-10-02,69.949997,70.339996,69.849998,70.339996,52.646763,5300
2007-10-03,71.019997,71.209999,70.440002,70.440002,52.721619,9000
2007-10-04,71.019997,71.360001,71.019997,71.269997,53.342831,4200
2007-10-05,71.849998,72.839996,71.849998,72.559998,54.308350,14400
2007-10-08,72.050003,72.050003,71.440002,71.769997,53.717052,22500
2007-10-09,71.709999,72.839996,71.709999,72.839996,54.517925,14600
2007-10-10,72.080002,72.180000,71.500000,71.860001,53.784424,14400
2007-10-11,73.260002,73.769997,72.000000,72.000000,53.889221,87200
2007-10-12,72.820000,73.209999,72.650002,73.099998,54.712521,13900
2007-10-15,73.080002,73.110001,71.500000,71.610001,53.597309,19800
2007-10-16,71.440002,71.669998,71.010002,71.489998,53.507492,5100
2007-10-17,72.620003,72.620003,71.699997,72.040001,53.919159,6400
2007-10-18,72.150002,72.900002,72.150002,72.839996,54.517925,7700
2007-10-19,72.779999,72.779999,70.870003,70.879997,53.050930,8300
2007-10-22,70.820000,71.680000,70.489998,71.449997,53.477558,11100
2007-10-23,73.080002,73.730003,72.339996,73.730003,55.184044,6400
2007-10-24,73.459999,73.639999,72.989998,73.449997,54.974476,17700
2007-10-25,74.099998,74.320000,73.680000,74.239998,55.565773,3900
2007-10-26,76.080002,76.510002,75.930000,76.419998,57.197403,8100
2007-10-29,76.480003,77.550003,76.459999,76.849998,57.519245,15100
2007-10-30,75.660004,76.040001,75.660004,76.040001,56.912994,11500
2007-10-31,76.019997,79.099998,75.930000,77.269997,57.833599,32100
2007-11-01,74.760002,75.160004,74.660004,74.660004,55.880123,32800
2007-11-02,74.750000,75.339996,74.120003,75.339996,56.389069,27600
2007-11-05,74.620003,75.199997,74.379997,75.199997,56.284283,5800
2007-11-06,76.360001,80.190002,76.330002,77.510002,58.013218,21300
2007-11-07,76.599998,76.730003,75.070000,75.070000,56.186989,15900
2007-11-08,76.449997,76.519997,74.720001,75.870003,56.785759,17300
2007-11-09,76.440002,76.440002,74.500000,75.080002,56.194481,36200
2007-11-12,72.830002,73.839996,72.260002,72.449997,54.226021,60900
2007-11-13,73.599998,75.480003,73.459999,75.430000,56.456429,28500
2007-11-14,74.419998,76.000000,74.419998,74.800003,55.984901,13000
2007-11-15,73.480003,73.980003,73.480003,73.860001,55.281349,16000
2007-11-16,72.730003,73.440002,72.730003,72.730003,54.435589,4800
2007-11-19,74.209999,74.930000,71.099998,71.250000,53.327869,27000
2007-11-20,73.559998,74.250000,72.559998,73.559998,55.056805,78000
2007-11-21,72.070000,72.400002,71.239998,71.260002,53.335350,16600
2007-11-23,75.000000,75.000000,71.650002,72.419998,54.203564,6900
2007-11-26,68.800003,71.419998,68.800003,68.800003,51.494129,30700
2007-11-27,68.000000,70.279999,68.000000,70.250000,52.579395,36800
2007-11-28,70.599998,72.209999,70.410004,72.110001,53.971550,12800
2007-11-29,72.000000,73.870003,71.959999,72.580002,54.323322,14700
2007-11-30,73.550003,73.699997,72.169998,72.559998,54.308350,14100
2007-12-03,72.599998,72.959999,72.190002,72.480003,54.248470,15000
2007-12-04,72.839996,72.930000,72.400002,72.480003,54.248470,34700
2007-12-05,73.019997,74.000000,72.889999,73.879997,55.296318,28500
2007-12-06,73.699997,74.459999,73.070000,74.430000,55.707966,24900
2007-12-07,75.000000,75.000000,74.000000,74.230003,55.558289,41400
2007-12-10,74.000000,74.459999,73.809998,74.459999,55.730415,31100
2007-12-11,73.620003,74.300003,71.709999,71.709999,53.672153,31200
2007-12-12,75.209999,75.209999,72.110001,73.040001,54.667603,50400
2007-12-13,72.379997,72.650002,71.589996,72.650002,54.375710,11600
2007-12-14,70.260002,70.389999,69.410004,69.480003,52.003090,24800
2007-12-17,67.820000,69.180000,67.820000,67.900002,50.820515,29000
