Date,Open,High,Low,Close,Adj Close,Volume
2007-01-03,15.466667,15.523334,15.043334,15.236667,14.145569,72000
2007-01-04,15.316667,15.566667,15.233334,15.546666,14.433370,34200
2007-01-05,15.443334,15.603333,15.443334,15.540000,14.427181,55800
2007-01-08,15.500000,15.593333,15.463333,15.590000,14.473601,56100
2007-01-09,15.583333,15.639999,15.493333,15.633334,14.513834,134400
2007-01-10,15.583333,15.783333,15.566667,15.766666,14.637617,169500
2007-01-11,15.816667,16.046667,15.816667,16.046667,14.897566,70500
2007-01-12,16.100000,16.289999,16.083334,16.289999,15.123473,76200
2007-01-16,16.353334,16.366667,16.286667,16.296667,15.129666,28200
2007-01-17,16.283333,16.383333,16.260000,16.326666,15.157517,191700
2007-01-18,16.333334,16.333334,16.123333,16.153334,14.996595,57900
2007-01-19,16.133333,16.216667,16.093332,16.166666,15.008972,69600
2007-01-22,16.183332,16.186666,16.000000,16.000000,14.854243,40200
2007-01-23,15.966667,16.026667,15.866666,15.889999,14.752118,356100
2007-01-24,15.923333,16.046667,15.923333,16.043333,14.894469,497700
2007-01-25,16.050001,16.050001,15.803333,15.826667,14.693323,385800
2007-01-26,15.730000,15.810000,15.650001,15.786667,14.656186,108900
2007-01-29,15.776668,15.896667,15.776668,15.863334,14.727362,31500
2007-01-30,15.870000,15.983334,15.870000,15.963333,14.820200,12300
2007-01-31,15.950000,15.986667,15.800000,15.926666,14.786160,42000
2007-02-01,16.066668,16.080000,15.936667,16.023333,14.875902,55200
2007-02-02,16.010000,16.050001,15.933333,15.960000,14.817105,14400
2007-02-05,16.000000,16.000000,15.840000,15.889999,14.752118,35100
2007-02-06,15.906667,15.906667,15.780000,15.863334,14.727362,45300
2007-02-07,15.910000,16.020000,15.849999,15.986667,14.841863,123300
2007-02-08,15.986667,16.110001,15.986667,16.093332,14.940890,120000
2007-02-09,16.126667,16.126667,15.900001,15.943334,14.801634,86700
2007-02-12,16.100000,16.413334,16.066668,16.350000,15.179182,582300
2007-02-13,16.493334,16.590000,16.453333,16.500000,15.318439,186300
2007-02-14,16.550001,16.629999,16.520000,16.526667,15.343197,70500
2007-02-15,16.503332,16.506666,16.373333,16.456667,15.278205,117600
2007-02-16,16.516666,16.606667,16.423334,16.606667,15.417462,29100
2007-02-20,16.563334,16.756666,16.426666,16.750000,15.550530,475800
2007-02-21,16.693335,16.713333,16.596666,16.693335,15.497928,171900
2007-02-22,16.746668,16.766666,16.650000,16.756666,15.556724,21900
2007-02-23,16.713333,16.753332,16.610001,16.740000,15.541250,75600
2007-02-26,16.766666,16.783333,16.690001,16.699999,15.504114,54000
2007-02-27,16.440001,16.483334,15.953334,16.033333,14.885187,114300
2007-02-28,16.033333,16.216667,15.916667,16.056665,14.906848,285300
2007-03-01,15.603333,15.880000,15.493333,15.796666,14.665469,57000
2007-03-02,15.730000,15.740001,15.386666,15.410000,14.306491,75000
2007-03-05,15.123333,15.556666,15.123333,15.273334,14.179613,251100
2007-03-06,15.400001,15.490001,15.250000,15.460000,14.352911,62400
2007-03-07,15.410000,15.480000,15.373333,15.400001,14.297207,84300
2007-03-08,15.566667,15.603333,15.460000,15.463333,14.356006,69600
2007-03-09,15.616666,15.630000,15.386666,15.486667,14.377670,27900
2007-03-12,15.556666,15.636666,15.546666,15.613334,14.495264,270300
2007-03-13,15.500000,15.603333,15.316667,15.316667,14.219843,48300
2007-03-14,15.280000,15.396667,15.090000,15.383334,14.281735,265800
2007-03-15,15.406667,15.443334,15.383334,15.419999,14.315776,13500
2007-03-16,15.333333,15.419999,15.293334,15.330001,14.232222,25800
2007-03-19,15.400001,15.500000,15.366666,15.426666,14.321963,18600
2007-03-20,15.456666,15.563333,15.386666,15.543334,14.430279,169200
2007-03-21,15.553333,15.870000,15.553333,15.870000,14.733549,36600
2007-03-22,15.906667,15.953334,15.840000,15.886666,14.749024,24300
2007-03-23,15.983334,15.996667,15.876667,15.956666,14.814009,130500
2007-03-26,16.030001,16.066668,15.876667,15.956666,14.814009,183900
2007-03-27,16.033333,16.050001,15.933333,15.953334,14.810918,11700
2007-03-28,15.913334,15.983334,15.833333,15.933333,14.792346,21000
2007-03-29,16.000000,16.003332,15.833333,15.926666,14.786160,62100
2007-03-30,16.166666,16.166666,16.010000,16.083334,14.931610,83700
2007-04-02,16.233334,16.233334,16.096666,16.150000,14.993504,4200
2007-04-03,16.250000,16.356667,16.219999,16.309999,15.142039,33900
2007-04-04,16.400000,16.406668,16.326666,16.396666,15.222503,185700
2007-04-05,16.430000,16.666666,16.430000,16.650000,15.457695,59100
2007-04-09,16.673334,16.699999,16.600000,16.696667,15.501024,56400
2007-04-10,16.713333,16.830000,16.643333,16.643333,15.451509,85800
2007-04-11,16.559999,16.559999,16.420000,16.550001,15.364861,22800
2007-04-12,16.626667,16.923334,16.573334,16.923334,15.711456,60300
2007-04-13,16.966667,17.050001,16.913334,17.050001,15.829053,24900
2007-04-16,17.123333,17.203333,17.103334,17.203333,15.971404,81300
2007-04-17,17.203333,17.206667,17.116667,17.160000,15.931174,147300
2007-04-18,17.166666,17.166666,17.129999,17.160000,15.931174,5400
2007-04-19,17.053333,17.253332,17.016666,17.136667,15.909513,128100
2007-04-20,17.333334,17.370001,17.240000,17.313334,16.073528,22500
2007-04-23,17.600000,17.756666,17.566668,17.696667,16.429407,98700
2007-04-24,17.766666,17.766666,17.583334,17.663334,16.398468,49200
2007-04-25,17.716667,17.780001,17.616667,17.753332,16.482023,27600
2007-04-26,17.809999,17.943335,17.716667,17.943335,16.658415,23700
2007-04-27,17.883333,17.883333,17.780001,17.833334,16.556292,44400
2007-04-30,17.850000,17.856667,17.516666,17.516666,16.262300,276600
2007-05-01,17.566668,17.653334,17.350000,17.653334,16.389177,69000
2007-05-02,17.743334,18.010000,17.710001,17.990000,16.701736,3477900
2007-05-03,18.016666,18.016666,17.926666,17.933332,16.649128,63000
2007-05-04,17.963333,17.986666,17.863333,17.936666,16.652224,44700
2007-05-07,17.983334,17.986666,17.916666,17.916666,16.633657,38100
2007-05-08,17.833334,17.893333,17.743334,17.886667,16.605806,339600
2007-05-09,17.800001,17.896666,17.760000,17.896666,16.615086,44400
2007-05-10,17.800001,17.800001,17.493334,17.506666,16.253014,314100
2007-05-11,17.503332,17.830000,17.500000,17.830000,16.553200,454500
2007-05-14,17.876667,17.886667,17.723333,17.736666,16.466543,140100
2007-05-15,17.716667,17.916666,17.636667,17.663334,16.398468,152700
2007-05-16,17.666666,17.796667,17.606667,17.770000,16.497492,99000
2007-05-17,17.793333,17.793333,17.610001,17.663334,16.398468,61200
2007-05-18,17.650000,17.826666,17.606667,17.793333,16.519154,150300
2007-05-21,17.773333,18.016666,17.770000,17.906668,16.624372,168300
2007-05-22,17.920000,18.186666,17.920000,18.093332,16.797672,176700
2007-05-23,18.143333,18.263334,18.033333,18.033333,16.741968,38100
2007-05-24,18.090000,18.113333,17.743334,17.789999,16.516054,41400
2007-05-25,17.789999,17.866667,17.753332,17.856667,16.577951,17400
2007-05-29,17.860001,18.013334,17.860001,17.983334,16.695549,27600
2007-05-30,17.930000,17.976667,17.850000,17.976667,16.689356,329700
2007-05-31,18.000000,18.000000,17.883333,17.916666,16.633657,417900
2007-06-01,17.933332,18.070000,17.933332,18.050001,16.757441,4013400
2007-06-04,18.133333,18.146666,17.940001,18.063334,16.769823,138300
2007-06-05,18.050001,18.070000,17.949999,18.003332,16.714121,327600
2007-06-06,17.930000,17.930000,17.760000,17.760000,16.488207,77400
2007-06-07,17.783333,17.783333,17.266666,17.266666,16.030201,493800
2007-06-08,17.246668,17.446667,17.230000,17.400000,16.153986,89700
2007-06-11,17.393333,17.563334,17.393333,17.443335,16.194214,41700
2007-06-12,17.403334,17.403334,17.166666,17.166666,15.937362,400800
2007-06-13,17.276667,17.446667,17.203333,17.416666,16.169466,230400
2007-06-14,17.526667,17.620001,17.486666,17.550001,16.293245,112800
2007-06-15,17.536667,17.800001,17.536667,17.800001,16.568457,182400
2007-06-18,17.733334,17.733334,17.476667,17.510000,16.298531,169200
2007-06-19,17.500000,17.516666,17.416666,17.449999,16.242676,73500
2007-06-20,17.533333,17.533333,17.133333,17.136667,15.951018,249600
2007-06-21,17.166666,17.170000,17.036667,17.133333,15.947917,294000
2007-06-22,17.070000,17.083334,16.820000,16.866667,15.699707,509100
2007-06-25,16.866667,16.949999,16.613333,16.673334,15.519748,485700
2007-06-26,16.776667,16.776667,16.580000,16.603334,15.454589,334800
2007-06-27,16.590000,17.100000,16.570000,17.100000,15.916887,229200
2007-06-28,17.143333,17.216667,17.126667,17.160000,15.972741,676800
2007-06-29,17.153334,17.196667,16.889999,16.956667,15.783472,234300
2007-07-02,17.093332,17.230000,17.083334,17.226667,16.034796,109200
2007-07-03,17.286667,17.323334,17.253332,17.309999,16.112364,51600
